DSU,Stage,N,E,ipf,ssf,shuffle,Score,Score Error
Adaptive2/squashing:this_node_read_success,1,1000000,16000000,0.02,0.2,true,1099750.000,1310815.901
Adaptive2/squashing:this_node_write,1,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive2/squashing:global_data_read_write,1,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive2/squashing:same_set_requests_true,1,1000000,16000000,0.02,0.2,true,1332344.833,1118.805
Adaptive2/squashing:same_set_requests_false,1,1000000,16000000,0.02,0.2,true,312.167,650.628
Adaptive2/squashing:union_requests,1,1000000,16000000,0.02,0.2,true,5333967.000,672.603
Adaptive2/squashing,2,1000000,16000000,0.02,0.2,true,2639598.870,559206.531
Adaptive2/squashing:cross_node_read,2,1000000,16000000,0.02,0.2,true,870116.667,897432.174
Adaptive2/squashing:this_node_read,2,1000000,16000000,0.02,0.2,true,27945194.500,1216589.585
Adaptive2/squashing:cross_node_write,2,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive2/squashing:this_node_read_success,2,1000000,16000000,0.02,0.2,true,1159156.167,1101562.883
Adaptive2/squashing:this_node_write,2,1000000,16000000,0.02,0.2,true,56252.667,137724.200
Adaptive2/squashing:global_data_read_write,2,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive2/squashing:same_set_requests_true,2,1000000,16000000,0.02,0.2,true,1332692.500,125.500
Adaptive2/squashing:same_set_requests_false,2,1000000,16000000,0.02,0.2,true,67.500,62.038
Adaptive2/squashing:union_requests,2,1000000,16000000,0.02,0.2,true,5333992.000,95.304
Adaptive3/squashing,0,1000000,16000000,0.02,0.2,true,2190171.803,660443.302
Adaptive3/squashing:cross_node_read,0,1000000,16000000,0.02,0.2,true,2363743.167,2275942.634
Adaptive3/squashing:this_node_read,0,1000000,16000000,0.02,0.2,true,27152335.667,2117399.889
Adaptive3/squashing:cross_node_write,0,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive3/squashing:this_node_read_success,0,1000000,16000000,0.02,0.2,true,4498896.333,1223383.101
Adaptive3/squashing:this_node_write,0,1000000,16000000,0.02,0.2,true,27213.333,65773.757
Adaptive3/squashing:global_data_read_write,0,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive3/squashing:same_set_requests_true,0,1000000,16000000,0.02,0.2,true,1332888.500,550.461
Adaptive3/squashing:same_set_requests_false,0,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive3/squashing:union_requests,0,1000000,16000000,0.02,0.2,true,5333735.500,550.461
Adaptive3/squashing,1,1000000,16000000,0.02,0.2,true,2231879.879,660272.123
Adaptive3/squashing:cross_node_read,1,1000000,16000000,0.02,0.2,true,2006761.833,1550173.724
Adaptive3/squashing:this_node_read,1,1000000,16000000,0.02,0.2,true,26915312.167,1709580.010
Adaptive3/squashing:cross_node_write,1,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive3/squashing:this_node_read_success,1,1000000,16000000,0.02,0.2,true,4475529.833,1194706.883
Adaptive3/squashing:this_node_write,1,1000000,16000000,0.02,0.2,true,7279.333,17820.856
Adaptive3/squashing:global_data_read_write,1,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive3/squashing:same_set_requests_true,1,1000000,16000000,0.02,0.2,true,1332657.000,672.603
Adaptive3/squashing:same_set_requests_false,1,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive3/squashing:union_requests,1,1000000,16000000,0.02,0.2,true,5333967.000,672.603
Adaptive3/squashing,2,1000000,16000000,0.02,0.2,true,2213825.938,695820.200
Adaptive3/squashing:cross_node_read,2,1000000,16000000,0.02,0.2,true,1745103.000,1126888.334
Adaptive3/squashing:this_node_read,2,1000000,16000000,0.02,0.2,true,27300008.167,2034374.251
Adaptive3/squashing:cross_node_write,2,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive3/squashing:this_node_read_success,2,1000000,16000000,0.02,0.2,true,5011327.000,1743480.294
Adaptive3/squashing:this_node_write,2,1000000,16000000,0.02,0.2,true,12663.000,30915.576
Adaptive3/squashing:global_data_read_write,2,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive3/squashing:same_set_requests_true,2,1000000,16000000,0.02,0.2,true,1332760.000,95.304
Adaptive3/squashing:same_set_requests_false,2,1000000,16000000,0.02,0.2,true,0.000,0.000
Adaptive3/squashing:union_requests,2,1000000,16000000,0.02,0.2,true,5333992.000,95.304
Adaptive2/halfing,0,1000000,64000000,0.02,0.2,true,2645818.677,651758.525
Adaptive2/halfing:cross_node_read,0,1000000,64000000,0.02,0.2,true,3264974.833,5758296.741
