DSU,N,E,interpairFraction,sameSetFraction,Score,Score Error
ParallelUnions/halfing,1000000,16000000,0.020,0.950,4805062.323,45985.104
Adaptive2/halfing,1000000,16000000,0.020,0.950,4624809.841,30780.398
Adaptive3/halfing,1000000,16000000,0.020,0.950,4380455.883,40937.264
ParallelUnions/squashing,1000000,16000000,0.020,0.950,4814001.033,32817.256
Adaptive2/squashing,1000000,16000000,0.020,0.950,4608608.383,32677.354
Adaptive3/squashing,1000000,16000000,0.020,0.950,4374806.517,36244.454
Usual,1000000,64000000,0.020,0.950,4830085.311,44507.910
ParallelUnions/halfing,1000000,64000000,0.020,0.950,4868555.232,30927.027
Adaptive2/halfing,1000000,64000000,0.020,0.950,4650840.367,32883.863
Adaptive3/halfing,1000000,64000000,0.020,0.950,4427293.777,37807.493
ParallelUnions/squashing,1000000,64000000,0.020,0.950,4859716.698,66349.254
Adaptive2/squashing,1000000,64000000,0.020,0.950,4696260.286,28310.995
Adaptive3/squashing,1000000,64000000,0.020,0.950,4439857.781,33343.119
Usual,1000000,4000000,0.100,0.950,4388644.832,30477.598
ParallelUnions/halfing,1000000,4000000,0.100,0.950,4605280.365,26514.074
Adaptive2/halfing,1000000,4000000,0.100,0.950,4395264.786,25680.066
Adaptive3/halfing,1000000,4000000,0.100,0.950,4114428.702,37763.250
ParallelUnions/squashing,1000000,4000000,0.100,0.950,4582677.797,34519.915
Adaptive2/squashing,1000000,4000000,0.100,0.950,4433487.585,26924.096
Adaptive3/squashing,1000000,4000000,0.100,0.950,3968782.461,66296.115
Usual,1000000,16000000,0.100,0.950,4770082.107,50122.683
ParallelUnions/halfing,1000000,16000000,0.100,0.950,4832383.742,35418.062
Adaptive2/halfing,1000000,16000000,0.100,0.950,4529937.391,54443.975
Adaptive3/halfing,1000000,16000000,0.100,0.950,4330840.897,33386.541
ParallelUnions/squashing,1000000,16000000,0.100,0.950,4795473.318,28988.883
Adaptive2/squashing,1000000,16000000,0.100,0.950,4553861.457,55010.782
Adaptive3/squashing,1000000,16000000,0.100,0.950,4305855.910,36042.955
Usual,1000000,64000000,0.100,0.950,4817752.608,42960.670
ParallelUnions/halfing,1000000,64000000,0.100,0.950,4852407.367,33829.246
Adaptive2/halfing,1000000,64000000,0.100,0.950,4590146.408,31353.665
Adaptive3/halfing,1000000,64000000,0.100,0.950,4418278.651,40326.128
ParallelUnions/squashing,1000000,64000000,0.100,0.950,4868559.456,31121.187
Adaptive2/squashing,1000000,64000000,0.100,0.950,4631914.038,40324.446
Adaptive3/squashing,1000000,64000000,0.100,0.950,4419132.393,38752.859
Usual,1000000,4000000,0.300,0.950,4445717.533,20366.645
ParallelUnions/halfing,1000000,4000000,0.300,0.950,4648018.796,22897.260
Adaptive2/halfing,1000000,4000000,0.300,0.950,4262139.893,24172.270
Adaptive3/halfing,1000000,4000000,0.300,0.950,4101964.288,32510.390
ParallelUnions/squashing,1000000,4000000,0.300,0.950,4676307.383,22896.152
Adaptive2/squashing,1000000,4000000,0.300,0.950,4275741.342,28802.828
Adaptive3/squashing,1000000,4000000,0.300,0.950,4125147.988,31770.133
Usual,1000000,16000000,0.300,0.950,4760283.819,49766.428
ParallelUnions/halfing,1000000,16000000,0.300,0.950,4843632.850,34783.037
Adaptive2/halfing,1000000,16000000,0.300,0.950,4427898.730,99142.739
Adaptive3/halfing,1000000,16000000,0.300,0.950,4304386.924,38792.086
ParallelUnions/squashing,1000000,16000000,0.300,0.950,4817317.424,23924.649
Adaptive2/squashing,1000000,16000000,0.300,0.950,4451858.493,98035.716
Adaptive3/squashing,1000000,16000000,0.300,0.950,4343929.320,36630.293
