DSU,N,E,interpairFraction,sameSetFraction,Score,Score Error
ParallelUnions/squashing,1000000,4000000,0.300,0.300,2622456.680,116240.325
Adaptive/squashing,1000000,4000000,0.300,0.300,2921312.243,188448.775
AdaptiveLocks/squashing,1000000,4000000,0.300,0.300,2901249.932,146700.203
LazyUnions/squashing,1000000,4000000,0.300,0.300,3000977.910,169241.990
Usual,1000000,16000000,0.300,0.300,3568641.956,147678.336
SeveralDSU,1000000,16000000,0.300,0.300,3880505.754,48512.826
ParallelUnions/halfing,1000000,16000000,0.300,0.300,4114811.793,38211.708
Adaptive/halfing,1000000,16000000,0.300,0.300,3994067.971,123919.125
AdaptiveLocks/halfing,1000000,16000000,0.300,0.300,4001875.932,42851.488
LazyUnions/halfing,1000000,16000000,0.300,0.300,3875147.503,174369.283
ParallelUnions/squashing,1000000,16000000,0.300,0.300,4023782.169,154082.140
Adaptive/squashing,1000000,16000000,0.300,0.300,3920765.951,116488.958
AdaptiveLocks/squashing,1000000,16000000,0.300,0.300,3940726.776,99635.120
LazyUnions/squashing,1000000,16000000,0.300,0.300,3840562.868,217200.541
Usual,1000000,64000000,0.300,0.300,4323438.236,37280.976
SeveralDSU,1000000,64000000,0.300,0.300,4305924.241,41138.565
ParallelUnions/halfing,1000000,64000000,0.300,0.300,4453399.693,46877.508
Adaptive/halfing,1000000,64000000,0.300,0.300,4308156.818,47599.150
AdaptiveLocks/halfing,1000000,64000000,0.300,0.300,4248024.466,34598.909
LazyUnions/halfing,1000000,64000000,0.300,0.300,4113033.372,77359.508
ParallelUnions/squashing,1000000,64000000,0.300,0.300,4345989.267,75651.852
Adaptive/squashing,1000000,64000000,0.300,0.300,4263395.249,57167.676
AdaptiveLocks/squashing,1000000,64000000,0.300,0.300,4199562.090,44496.644
LazyUnions/squashing,1000000,64000000,0.300,0.300,4009127.439,79098.939
Usual,1000000,4000000,0.500,0.300,2302777.344,114796.715
SeveralDSU,1000000,4000000,0.500,0.300,2250281.658,113555.734
ParallelUnions/halfing,1000000,4000000,0.500,0.300,2706802.754,46926.811
Adaptive/halfing,1000000,4000000,0.500,0.300,2942729.512,202279.611
AdaptiveLocks/halfing,1000000,4000000,0.500,0.300,2930239.839,58402.977
LazyUnions/halfing,1000000,4000000,0.500,0.300,2011704.070,314085.809
ParallelUnions/squashing,1000000,4000000,0.500,0.300,2272929.845,207298.764
Adaptive/squashing,1000000,4000000,0.500,0.300,2578215.193,177076.273
AdaptiveLocks/squashing,1000000,4000000,0.500,0.300,2610981.931,156844.711
LazyUnions/squashing,1000000,4000000,0.500,0.300,1895093.866,372779.224
Usual,1000000,16000000,0.500,0.300,3755688.919,43085.738
SeveralDSU,1000000,16000000,0.500,0.300,3808047.260,67563.501
ParallelUnions/halfing,1000000,16000000,0.500,0.300,4048737.225,49604.143
Adaptive/halfing,1000000,16000000,0.500,0.300,3928019.832,108968.668
AdaptiveLocks/halfing,1000000,16000000,0.500,0.300,3884212.564,38956.041
LazyUnions/halfing,1000000,16000000,0.500,0.300,3560858.073,189816.377
ParallelUnions/squashing,1000000,16000000,0.500,0.300,3868957.980,142564.338
Adaptive/squashing,1000000,16000000,0.500,0.300,3879518.117,145109.377
AdaptiveLocks/squashing,1000000,16000000,0.500,0.300,3808949.794,71284.698
LazyUnions/squashing,1000000,16000000,0.500,0.300,3620219.009,231784.353
Usual,1000000,64000000,0.500,0.300,4290082.258,92222.749
SeveralDSU,1000000,64000000,0.500,0.300,4295563.732,46549.099
ParallelUnions/halfing,1000000,64000000,0.500,0.300,4426749.376,37923.401
Adaptive/halfing,1000000,64000000,0.500,0.300,4291037.527,51245.703
AdaptiveLocks/halfing,1000000,64000000,0.500,0.300,4258717.607,39516.818
LazyUnions/halfing,1000000,64000000,0.500,0.300,4101919.871,61952.021
ParallelUnions/squashing,1000000,64000000,0.500,0.300,4378296.514,65844.505
Adaptive/squashing,1000000,64000000,0.500,0.300,4239252.255,59383.023
AdaptiveLocks/squashing,1000000,64000000,0.500,0.300,4211600.203,52494.306
LazyUnions/squashing,1000000,64000000,0.500,0.300,4064851.758,83264.638
Usual,1000000,4000000,0.100,0.400,2394748.185,263276.394
SeveralDSU,1000000,4000000,0.100,0.400,2403607.906,109792.209
ParallelUnions/halfing,1000000,4000000,0.100,0.400,3224599.483,100722.308
Adaptive/halfing,1000000,4000000,0.100,0.400,3304094.070,216979.598
AdaptiveLocks/halfing,1000000,4000000,0.100,0.400,3256945.068,119912.970
LazyUnions/halfing,1000000,4000000,0.100,0.400,2736534.987,601690.016
ParallelUnions/squashing,1000000,4000000,0.100,0.400,3076698.341,279410.340
Adaptive/squashing,1000000,4000000,0.100,0.400,3185961.753,287155.257
AdaptiveLocks/squashing,1000000,4000000,0.100,0.400,3275475.816,125538.719
LazyUnions/squashing,1000000,4000000,0.100,0.400,2835739.732,652643.475
Usual,1000000,16000000,0.100,0.400,3574278.277,104246.803
SeveralDSU,1000000,16000000,0.100,0.400,3815024.708,26041.274
ParallelUnions/halfing,1000000,16000000,0.100,0.400,3994818.056,57320.390
Adaptive/halfing,1000000,16000000,0.100,0.400,4078435.013,103773.563
AdaptiveLocks/halfing,1000000,16000000,0.100,0.400,3852586.418,54974.890
LazyUnions/halfing,1000000,16000000,0.100,0.400,3570418.026,132648.767
ParallelUnions/squashing,1000000,16000000,0.100,0.400,3690729.320,103482.005
Adaptive/squashing,1000000,16000000,0.100,0.400,3921048.107,105560.760
AdaptiveLocks/squashing,1000000,16000000,0.100,0.400,3810371.908,36567.799
LazyUnions/squashing,1000000,16000000,0.100,0.400,3386389.876,204336.121
Usual,1000000,64000000,0.100,0.400,4337125.234,68760.615
SeveralDSU,1000000,64000000,0.100,0.400,4327364.029,40404.545
ParallelUnions/halfing,1000000,64000000,0.100,0.400,4537991.865,40712.582
Adaptive/halfing,1000000,64000000,0.100,0.400,4347142.598,41862.525
AdaptiveLocks/halfing,1000000,64000000,0.100,0.400,4269212.688,39635.727
LazyUnions/halfing,1000000,64000000,0.100,0.400,4345044.648,57521.624
ParallelUnions/squashing,1000000,64000000,0.100,0.400,4506755.943,35217.120
Adaptive/squashing,1000000,64000000,0.100,0.400,4332739.622,51071.659
AdaptiveLocks/squashing,1000000,64000000,0.100,0.400,4258082.734,51885.033
LazyUnions/squashing,1000000,64000000,0.100,0.400,4315173.418,72063.729
Usual,1000000,4000000,0.300,0.400,2535266.714,139658.002
SeveralDSU,1000000,4000000,0.300,0.400,2381612.793,96199.853
ParallelUnions/halfing,1000000,4000000,0.300,0.400,3056460.320,173174.854
Adaptive/halfing,1000000,4000000,0.300,0.400,3140144.000,218026.186
AdaptiveLocks/halfing,1000000,4000000,0.300,0.400,3125577.367,150984.986
LazyUnions/halfing,1000000,4000000,0.300,0.400,2607323.224,495189.589
ParallelUnions/squashing,1000000,4000000,0.300,0.400,2803070.556,468565.612
Adaptive/squashing,1000000,4000000,0.300,0.400,2930229.206,295483.737
AdaptiveLocks/squashing,1000000,4000000,0.300,0.400,2926755.842,322804.196
LazyUnions/squashing,1000000,4000000,0.300,0.400,2495573.562,783601.582
Usual,1000000,16000000,0.300,0.400,3611124.322,76886.531
SeveralDSU,1000000,16000000,0.300,0.400,3812393.565,44460.627
ParallelUnions/halfing,1000000,16000000,0.300,0.400,4051527.234,41848.420
Adaptive/halfing,1000000,16000000,0.300,0.400,3990934.632,102665.657
AdaptiveLocks/halfing,1000000,16000000,0.300,0.400,3903586.125,36814.877
LazyUnions/halfing,1000000,16000000,0.300,0.400,3572255.971,69769.517
ParallelUnions/squashing,1000000,16000000,0.300,0.400,3799501.167,112843.425
Adaptive/squashing,1000000,16000000,0.300,0.400,3874865.391,101272.721
AdaptiveLocks/squashing,1000000,16000000,0.300,0.400,3805221.768,51874.046
LazyUnions/squashing,1000000,16000000,0.300,0.400,3380105.174,90819.898
Usual,1000000,64000000,0.300,0.400,4322430.967,69759.234
SeveralDSU,1000000,64000000,0.300,0.400,4340707.581,37922.253
ParallelUnions/halfing,1000000,64000000,0.300,0.400,4442889.949,43087.668
Adaptive/halfing,1000000,64000000,0.300,0.400,4297311.469,45078.238
AdaptiveLocks/halfing,1000000,64000000,0.300,0.400,4228617.323,42152.251
LazyUnions/halfing,1000000,64000000,0.300,0.400,4070283.768,93157.338
ParallelUnions/squashing,1000000,64000000,0.300,0.400,4455061.824,63043.039
Adaptive/squashing,1000000,64000000,0.300,0.400,4282619.415,49894.632
AdaptiveLocks/squashing,1000000,64000000,0.300,0.400,4219311.510,39967.031
LazyUnions/squashing,1000000,64000000,0.300,0.400,4093092.439,77242.899
Usual,1000000,4000000,0.500,0.400,2225650.936,232573.496
SeveralDSU,1000000,4000000,0.500,0.400,2699167.854,96318.233
ParallelUnions/halfing,1000000,4000000,0.500,0.400,3101897.940,130328.934
Adaptive/halfing,1000000,4000000,0.500,0.400,3151083.092,207018.205
AdaptiveLocks/halfing,1000000,4000000,0.500,0.400,3137443.057,120056.467
LazyUnions/halfing,1000000,4000000,0.500,0.400,2757470.486,345086.637
ParallelUnions/squashing,1000000,4000000,0.500,0.400,2883993.654,362074.182
Adaptive/squashing,1000000,4000000,0.500,0.400,3062984.737,242707.872
AdaptiveLocks/squashing,1000000,4000000,0.500,0.400,3036750.922,219781.420
LazyUnions/squashing,1000000,4000000,0.500,0.400,2892665.530,287825.854
Usual,1000000,16000000,0.500,0.400,3466840.203,163410.501
SeveralDSU,1000000,16000000,0.500,0.400,3752871.419,42226.717
ParallelUnions/halfing,1000000,16000000,0.500,0.400,4123660.630,45839.002
Adaptive/halfing,1000000,16000000,0.500,0.400,4017126.520,105436.720
AdaptiveLocks/halfing,1000000,16000000,0.500,0.400,3948747.270,23411.666
LazyUnions/halfing,1000000,16000000,0.500,0.400,3881884.354,94552.984
ParallelUnions/squashing,1000000,16000000,0.500,0.400,4070360.349,59981.256
Adaptive/squashing,1000000,16000000,0.500,0.400,3931169.049,127326.199
AdaptiveLocks/squashing,1000000,16000000,0.500,0.400,3901136.432,82263.361
LazyUnions/squashing,1000000,16000000,0.500,0.400,3795399.785,165238.019
Usual,1000000,64000000,0.500,0.400,4285403.441,42726.373
SeveralDSU,1000000,64000000,0.500,0.400,4300632.861,50884.098
ParallelUnions/halfing,1000000,64000000,0.500,0.400,4508500.340,41760.837
Adaptive/halfing,1000000,64000000,0.500,0.400,4302106.094,46819.547
AdaptiveLocks/halfing,1000000,64000000,0.500,0.400,4236113.366,44654.851
LazyUnions/halfing,1000000,64000000,0.500,0.400,4239418.328,50493.443
ParallelUnions/squashing,1000000,64000000,0.500,0.400,4526947.247,41251.884
Adaptive/squashing,1000000,64000000,0.500,0.400,4306350.520,52164.753
AdaptiveLocks/squashing,1000000,64000000,0.500,0.400,4233111.121,44304.904
LazyUnions/squashing,1000000,64000000,0.500,0.400,4259082.323,58153.813
