DSU,N,E,ipf,ssf,shuffle,Score,Score Error
Adaptive3/squashing:this_node_read_success,1000000,2000000,0.02,0.2,true,5829225.167,18164.068
Adaptive3/squashing:this_node_write,1000000,2000000,0.02,0.2,true,2344661.333,99139.314
Adaptive3/squashing:global_data_read_write,1000000,2000000,0.02,0.2,true,0.000,0.000
Adaptive3/squashing:same_set_requests_true,1000000,2000000,0.02,0.2,true,254357.500,440.014
Adaptive3/squashing:same_set_requests_false,1000000,2000000,0.02,0.2,true,245260.500,63.305
Adaptive3/squashing:union_requests,1000000,2000000,0.02,0.2,true,2499920.000,0.000
Adaptive3/squashing:hist_begin,1000000,2000000,0.02,0.2,true,576,0
Adaptive3/squashing:hist_end,1000000,2000000,0.02,0.2,true,612,0
AdaptiveSmart/squashing,1000000,2000000,0.02,0.2,true,1119816.474,239878.602
AdaptiveSmart/squashing:cross_node_read,1000000,2000000,0.02,0.2,true,270136.500,10118.894
AdaptiveSmart/squashing:this_node_read,1000000,2000000,0.02,0.2,true,13385130.167,644777.374
AdaptiveSmart/squashing:cross_node_write,1000000,2000000,0.02,0.2,true,16966.000,169.044
AdaptiveSmart/squashing:this_node_read_success,1000000,2000000,0.02,0.2,true,380538.833,30300.567
AdaptiveSmart/squashing:this_node_write,1000000,2000000,0.02,0.2,true,2435823.333,336516.469
AdaptiveSmart/squashing:global_data_read_write,1000000,2000000,0.02,0.2,true,0.000,0.000
AdaptiveSmart/squashing:same_set_requests_true,1000000,2000000,0.02,0.2,true,253368.833,836.102
AdaptiveSmart/squashing:same_set_requests_false,1000000,2000000,0.02,0.2,true,246249.167,401.118
AdaptiveSmart/squashing:union_requests,1000000,2000000,0.02,0.2,true,2499920.000,0.000
AdaptiveSmart/squashing:hist_begin,1000000,2000000,0.02,0.2,true,612,0
AdaptiveSmart/squashing:hist_end,1000000,2000000,0.02,0.2,true,648,0
Usual,1000000,4000000,0.02,0.2,true,1471236.600,138108.556
Usual:cross_node_read,1000000,4000000,0.02,0.2,true,0.000,0.000
Usual:this_node_read,1000000,4000000,0.02,0.2,true,0.000,0.000
Usual:cross_node_write,1000000,4000000,0.02,0.2,true,0.000,0.000
Usual:this_node_read_success,1000000,4000000,0.02,0.2,true,0.000,0.000
Usual:this_node_write,1000000,4000000,0.02,0.2,true,0.000,0.000
Usual:global_data_read_write,1000000,4000000,0.02,0.2,true,0.000,0.000
Usual:same_set_requests_true,1000000,4000000,0.02,0.2,true,749513.000,590.010
Usual:same_set_requests_false,1000000,4000000,0.02,0.2,true,250534.000,888.230
Usual:union_requests,1000000,4000000,0.02,0.2,true,4999968.000,0.000
Usual:hist_begin,1000000,4000000,0.02,0.2,true,648,0
Usual:hist_end,1000000,4000000,0.02,0.2,true,684,0
ParallelUnions/halfing,1000000,4000000,0.02,0.2,true,1422536.124,100631.318
ParallelUnions/halfing:cross_node_read,1000000,4000000,0.02,0.2,true,999749.333,12.675
ParallelUnions/halfing:this_node_read,1000000,4000000,0.02,0.2,true,13384737.500,1855425.730
ParallelUnions/halfing:cross_node_write,1000000,4000000,0.02,0.2,true,1999311.000,25.195
ParallelUnions/halfing:this_node_read_success,1000000,4000000,0.02,0.2,true,0.000,0.000
ParallelUnions/halfing:this_node_write,1000000,4000000,0.02,0.2,true,3458232.333,392133.199
ParallelUnions/halfing:global_data_read_write,1000000,4000000,0.02,0.2,true,2000861.667,386.926
ParallelUnions/halfing:same_set_requests_true,1000000,4000000,0.02,0.2,true,749899.500,398.170
ParallelUnions/halfing:same_set_requests_false,1000000,4000000,0.02,0.2,true,250147.500,694.412
ParallelUnions/halfing:union_requests,1000000,4000000,0.02,0.2,true,4999968.000,0.000
ParallelUnions/halfing:hist_begin,1000000,4000000,0.02,0.2,true,684,0
ParallelUnions/halfing:hist_end,1000000,4000000,0.02,0.2,true,720,0
Adaptive2/halfing,1000000,4000000,0.02,0.2,true,1275064.664,185493.010
Adaptive2/halfing:cross_node_read,1000000,4000000,0.02,0.2,true,827529.167,30683.678
Adaptive2/halfing:this_node_read,1000000,4000000,0.02,0.2,true,27347299.833,310222.268
Adaptive2/halfing:cross_node_write,1000000,4000000,0.02,0.2,true,17101.500,36.534
