DSU,N,E,ipf,ssf,shuffle,Score,Score Error
Usual:same_set_requests_false,1000000,4000000,0.02,0.2,true,250218.833,239.071
Usual:this_node_read_success,1000000,4000000,0.02,0.2,true,0.000,0.000
Usual:hist_begin,1000000,4000000,0.02,0.2,true,288,0
Usual:hist_end,1000000,4000000,0.02,0.2,true,324,0
ParallelUnions/squashing,1000000,4000000,0.02,0.2,true,1712705.996,193578.221
ParallelUnions/squashing:this_node_read,1000000,4000000,0.02,0.2,true,13128282.000,2205843.455
ParallelUnions/squashing:union_requests,1000000,4000000,0.02,0.2,true,4999968.000,0.000
ParallelUnions/squashing:this_node_read_per_op,1000000,4000000,0.02,0.2,true,2.188,0.368
ParallelUnions/squashing:same_set_requests,1000000,4000000,0.02,0.2,true,1000590.000,442.560
ParallelUnions/squashing:cross_node_write,1000000,4000000,0.02,0.2,true,1999326.000,28.482
ParallelUnions/squashing:cross_node_read_per_op,1000000,4000000,0.02,0.2,true,0.000,0.000
ParallelUnions/squashing:cross_node_read,1000000,4000000,0.02,0.2,true,0.000,0.000
ParallelUnions/squashing:global_data_read_write_per_op,1000000,4000000,0.02,0.2,true,0.333,0.000
ParallelUnions/squashing:this_node_read_success_per_op,1000000,4000000,0.02,0.2,true,0.000,0.000
ParallelUnions/squashing:cross_node_write_per_op,1000000,4000000,0.02,0.2,true,0.333,0.000
ParallelUnions/squashing:this_node_write,1000000,4000000,0.02,0.2,true,3450435.167,465583.316
ParallelUnions/squashing:this_node_write_per_op,1000000,4000000,0.02,0.2,true,0.575,0.078
ParallelUnions/squashing:requests,1000000,4000000,0.02,0.2,true,6000558.000,442.560
ParallelUnions/squashing:same_set_requests_true,1000000,4000000,0.02,0.2,true,750566.000,51.428
ParallelUnions/squashing:global_data_read_write,1000000,4000000,0.02,0.2,true,1999851.167,191.628
ParallelUnions/squashing:same_set_requests_false,1000000,4000000,0.02,0.2,true,250024.000,487.454
ParallelUnions/squashing:this_node_read_success,1000000,4000000,0.02,0.2,true,0.000,0.000
ParallelUnions/squashing:hist_begin,1000000,4000000,0.02,0.2,true,324,0
ParallelUnions/squashing:hist_end,1000000,4000000,0.02,0.2,true,360,0
Adaptive2/squashing,1000000,4000000,0.02,0.2,true,1174865.676,218980.321
Adaptive2/squashing:this_node_read,1000000,4000000,0.02,0.2,true,27754951.000,838517.692
Adaptive2/squashing:union_requests,1000000,4000000,0.02,0.2,true,4999968.000,0.000
Adaptive2/squashing:this_node_read_per_op,1000000,4000000,0.02,0.2,true,4.625,0.140
Adaptive2/squashing:same_set_requests,1000000,4000000,0.02,0.2,true,1000590.000,442.560
Adaptive2/squashing:cross_node_write,1000000,4000000,0.02,0.2,true,18090.167,112.828
Adaptive2/squashing:cross_node_read_per_op,1000000,4000000,0.02,0.2,true,0.132,0.014
Adaptive2/squashing:cross_node_read,1000000,4000000,0.02,0.2,true,794040.500,83819.170
Adaptive2/squashing:global_data_read_write_per_op,1000000,4000000,0.02,0.2,true,0.000,0.000
Adaptive2/squashing:this_node_read_success_per_op,1000000,4000000,0.02,0.2,true,0.677,0.008
Adaptive2/squashing:cross_node_write_per_op,1000000,4000000,0.02,0.2,true,0.003,0.000
Adaptive2/squashing:this_node_write,1000000,4000000,0.02,0.2,true,2496735.000,423922.813
Adaptive2/squashing:this_node_write_per_op,1000000,4000000,0.02,0.2,true,0.416,0.071
Adaptive2/squashing:requests,1000000,4000000,0.02,0.2,true,6000558.000,442.560
Adaptive2/squashing:same_set_requests_true,1000000,4000000,0.02,0.2,true,750574.500,404.359
Adaptive2/squashing:global_data_read_write,1000000,4000000,0.02,0.2,true,0.000,0.000
Adaptive2/squashing:same_set_requests_false,1000000,4000000,0.02,0.2,true,250015.500,68.214
Adaptive2/squashing:this_node_read_success,1000000,4000000,0.02,0.2,true,4064421.000,49558.678
Adaptive2/squashing:hist_begin,1000000,4000000,0.02,0.2,true,360,0
Adaptive2/squashing:hist_end,1000000,4000000,0.02,0.2,true,396,0
Adaptive3/squashing,1000000,4000000,0.02,0.2,true,1055806.707,175644.282
Adaptive3/squashing:this_node_read,1000000,4000000,0.02,0.2,true,26728151.000,828626.985
Adaptive3/squashing:union_requests,1000000,4000000,0.02,0.2,true,4999968.000,0.000
Adaptive3/squashing:this_node_read_per_op,1000000,4000000,0.02,0.2,true,4.454,0.138
